Address,Minute,Blue kills,Blue deaths,Kill freq,Blue kill freq,Blue death freq,Red structures taken,Blue structures lost,Structure freq,Blue structure freq,Red structure freq,Blue gold,Gold diff,Delta gold diff,Blue win
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,37,13,5,0.2,0.2,0.0,7,5,0.6,0.6,0.0,58321.0,5118.0,1360.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,38,13,5,0.2,0.2,0.0,7,5,0.6,0.6,0.0,59811.0,5213.0,532.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,39,13,5,0.2,0.2,0.0,7,5,0.4,0.4,0.0,60961.0,5195.0,-353.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,40,13,5,0.0,0.0,0.0,7,5,0.0,0.0,0.0,62070.0,5084.0,-34.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,41,14,6,0.4,0.2,0.2,7,5,0.0,0.0,0.0,63170.0,4757.0,-456.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,2,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,-10.0,-10.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,3,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2724.0,4.0,4.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,4,0,1,0.2,0.0,0.2,0,0,0.0,0.0,0.0,3971.0,-113.0,-113.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,5,0,1,0.2,0.0,0.2,0,0,0.0,0.0,0.0,5229.0,-789.0,-779.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,6,0,1,0.2,0.0,0.2,0,0,0.0,0.0,0.0,6602.0,-735.0,-739.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,7,0,1,0.2,0.0,0.2,0,0,0.0,0.0,0.0,7880.0,-819.0,-706.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,8,2,1,0.6,0.4,0.2,0,0,0.0,0.0,0.0,9540.0,-587.0,202.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,9,2,1,0.4,0.4,0.0,0,0,0.0,0.0,0.0,11361.0,-56.0,679.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,10,2,1,0.4,0.4,0.0,0,0,0.0,0.0,0.0,12411.0,-242.0,577.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110119?gameHash=586282878818beb9,11,2,1,0.4,0.4,0.0,0,0,0.0,0.0,0.0,13852.0,-120.0,467.0,False
